Month,Begin,End,Days,kWh,kW,$,$/kWh,,CDD,HDD,,X,X',Y_adj,Y_adj_est,kWh_est,$_est,% error
2019-09,43704,43733,30,607791,,98541,0.162129745,,439,0,,439,265.5078995,617920.85,588468.2769,578821.2559,93844.14278,-0.04766399
2019-08,43672,43703,32,663914,,108341,0.163185292,,490,0,,490,296.3527807,632793.0313,596890.1633,626245.4172,102194.0413,-0.056737142
2019-07,43642,43671,30,625428,1505,101290,0.161953095,,497,0,,497,300.5863919,635851.8,598046.1084,588242.0739,95267.62419,-0.059456766
2019-06,43610,43641,32,614707,1489,82286,0.133862149,,339,0,,339,205.0277401,585892.6094,571954.7742,600083.6975,80328.4933,-0.023789061
2019-05,43581,43609,29,542280,1355,48826,0.090038357,,326,5,,329.6238983,197.9788277,570328.9655,570030.1391,541995.87,48800.4174,-0.000523954
2019-04,43551,43580,30,529493,1308,47604,0.089904871,,49,120,,95.06223396,49.15947576,538317.8833,529396.5033,520717.8721,46815.07325,-0.016572699
2019-03,43522,43550,29,516315,1542,48419,0.093778023,,0,392,,118.7486972,63.77904577,543020.9483,533388.2307,507156.0226,47560.08921,-0.017739127
2019-02,43491,43521,31,571232,1591,52383,0.091701795,,5,400,,125.6835267,68.10466692,562018.5806,534569.2983,543332.7294,49824.58679,-0.048840525
2019-01,43461,43490,30,567284,1612,52182,0.091985672,,0,662,,180.5869618,107.7084906,576738.7333,545382.7263,536442.0258,49344.98028,-0.054367784
2018-12,43431,43460,30,561664,1550,50883,0.090593308,,0,594,,165.5881126,96.64477854,571025.0667,542361.8903,533470.7118,48328.87675,-0.050196004
2018-11,43399,43430,32,571307,1544,51487,0.090121423,,0,502,,144.7314702,81.67622698,544526.9844,538274.877,564747.412,50895.84059,-0.011481722
2018-10,43370,43398,29,571553,1494,42685,0.074682488,,143,123,,189.9811982,106.4989305,601116.0862,545052.468,518246.6089,38703.94609,-0.093265876
