Month,Begin,End,Days,kWh,kW,$,$/kWh,,CDD,HDD,,X,X',Y_adj,Y_adj_est,kWh_est,$_est,% error
2019-08,43673,43704,32,660869,,48448.36,0.073310081,,490,0,,141.9570168,49,629890.7656,455984.6,478410.0721,35072.2812,-0.276089403
2019-07,43643,43672,30,887491.5489,,49810.82,0.056125402,,497,0,,143.5770781,49.7,902283.0747,456300.58,448820.2426,25190.21657,-0.494282235
2019-06,43614,43642,29,789724.0571,,46146.38,0.05843355,,339,0,,105.7206339,33.9,830571.8532,449168.46,427078.2079,24955.69572,-0.459205777
2019-05,43582,43613,32,800672.0224,,44484.17,0.055558542,,326,5,,106.4646545,35.1,763140.5214,449710.14,471827.0321,26214.02187,-0.410711229
2019-04,43552,43581,30,947520.1065,,43549.27,0.045961315,,49,120,,118.4986709,64.9,963312.1083,463161.86,455569.0426,20938.55223,-0.519198548
2019-03,43523,43551,29,1013576.906,,43581.55,0.042997773,,0,392,,313.6,196,1066003.298,522340.4,496651.5279,21354.90979,-0.510001141
2019-02,43494,43522,29,1012336.328,,43347.51,0.042819277,,5,400,,323.6238983,200.5,1064698.552,524371.7,498582.9279,21348.96067,-0.507492802
2019-01,43462,43493,32,1129503.304,,45578.64,0.040352817,,0,662,,529.6,331,1076557.836,583279.4,611965.2721,24694.52257,-0.458199662
2018-12,43432,43461,30,995456.2888,,43019.78,0.043216142,,0,594,,475.2,297,1012047.227,567931.8,558621.4426,24141.4634,-0.438828757
2018-11,43400,43431,32,737597.5692,,40768.89,0.055272538,,0,502,,401.6,251,703022.6831,547167.4,574077.2721,31730.70809,-0.221693107
2018-10,43371,43399,29,838283.1824,,44592.21,0.053194685,,143,123,,151.3991409,75.8,881642.6574,468082.12,445061.6879,23674.91638,-0.469079546
2018-09,43341,43370,30,911029.3095,,51164.39,0.05616108,,434,0,,128.822518,43.4,926213.1313,453456.76,446023.0426,25049.13581,-0.510418558
2018-08,43309,43340,32,917587.4779,,51343.51,0.055954894,,422,0,,125.9650202,42.2,874575.5649,452915.08,475189.5921,26589.18323,-0.482131564
2018-07,43279,43308,30,919119.3725,,51885.46,0.056451275,,455,0,,133.7855219,45.5,934438.0287,454404.7,446955.4426,25231.20438,-0.513713391
2018-06,43250,43278,29,869887.4402,,50120.44,0.057617156,,412,0,,123.5713447,41.2,914881.6181,452463.68,430211.3679,24787.55533,-0.505440189
2018-05,43217,43249,33,875900.889,,48128.16,0.054947039,,267,3,,89.73915968,28.2,809544.761,446595.48,483201.6669,26550.50067,-0.448337508
2018-04,43187,43216,30,768676.0857,,43113.6,0.056088125,,8,226,,186.0780316,113.8,781487.3538,485235.32,477280.6426,26769.77611,-0.379087432
2018-03,43158,43186,29,746970.2971,,42156.3,0.056436381,,1,422,,338.6,211.1,785606.6918,529156.54,503132.4479,28394.97433,-0.326435804
2018-02,43127,43157,31,839591.2277,,44676.96,0.053212752,,16,288,,239.5895868,145.6,826049.4337,499589.84,507779.8374,27020.36269,-0.39520588
2018-01,43097,43126,30,1032909.192,,46579.78,0.045095716,,0,826,,660.8,413,1050124.345,620294.2,610125.4426,27514.04394,-0.40931357
2017-12,43067,43096,30,905627.5394,,43237.54,0.047743182,,0,620,,496,310,920721.3317,573800,564393.4426,26945.93858,-0.376792977
2017-11,43035,43066,32,850866.9196,,42926.45,0.050450251,,15,344,,283.9271614,173.5,810982.5327,512183.9,537373.2721,27110.61667,-0.368440282
2017-10,43006,43034,29,801686.1204,,42659.89,0.053212709,,95,146,,155.0101625,82.5,843152.6439,471106.5,447937.3279,23835.95855,-0.441255977
2017-09,42976,43005,30,788526.9894,,45273.19,0.05741489,,227,10,,84.70447217,27.7,801669.1059,446369.78,439052.2426,25208.13601,-0.443199474
2017-08,42944,42975,32,936008.699,,52395.18,0.055977236,,409,0,,122.850986,40.9,892133.2912,452328.26,474573.9121,26565.33596,-0.492981302
