Month,Begin,End,Days,kWh,kW,$,$/kWh,,CDD,HDD,,X,X',Y_adj,Y_adj_est,kWh_est,$_est,% error
2019-08,43672,43703,32,441630,,26975.33,0.06108129,,490,0,,20151.79461,490,420928.5938,437023.5,458516.459,28006.7767,0.038236666
2019-07,43642,43671,30,416914,,25783.35,0.06184333,,497,0,,20614.37737,497,423862.5667,438055.65,430874.4098,26646.70823,0.033485107
2019-06,43610,43641,32,432401,,26321.18,0.060872153,,339,0,,11176.85244,339,412132.2031,414758.55,435156.5115,26488.91392,0.006372583
2019-05,43581,43609,29,382614,,20861.05,0.054522443,,326,5,,10529.00542,327.85,402404.3793,413114.4825,392797.3768,21416.27258,0.026615275
2019-04,43551,43580,30,391171,,21159.3,0.0540922,,49,120,,1226.190194,93.4,397690.5167,378544.83,372339.177,20140.64526,-0.048142176
2019-03,43522,43550,29,373447,,20541.5,0.055005128,,0,392,,2352,145.04,392763.2241,386159.148,367167.7145,20196.1071,-0.016814395
2019-02,43491,43521,31,410279,,21825.39,0.053196459,,5,400,,2413.132639,153,403661.5968,387332.85,393682.5689,20942.51863,-0.040451574
2019-01,43461,43490,30,393382,,21236.38,0.053984117,,0,662,,3972,244.94,399938.3667,400889.403,394317.4456,21286.8792,0.002377957
2018-12,43431,43460,30,394025,,21258.79,0.053952896,,0,594,,3564,219.78,400592.0833,397179.561,390668.4207,21077.69282,-0.008518696
2018-11,43399,43430,32,416720,,22049.95,0.052913107,,0,502,,3012,185.74,397186.25,392160.363,411446.9382,21770.93592,-0.012653729
2018-10,43370,43398,29,390069,,21120.89,0.054146548,,143,123,,3546.908937,188.51,410244.9828,392568.7995,373262.1372,20210.85639,-0.043086897
2018-09,43340,43369,30,437109,,26757.62,0.061214983,,434,0,,16595.24113,434,444394.15,428766.3,421737.3443,25816.64436,-0.035166642
2018-08,43308,43339,32,448924,,27333.1,0.060885807,,422,0,,15867.18632,422,427880.6875,426996.9,447996.7475,27276.64349,-0.0020655
2018-07,43278,43307,30,420451,,26128.5,0.062143983,,455,0,,17898.56588,455,427458.5167,431862.75,424783.0328,26397.70977,0.0103033
2018-06,43246,43277,32,443596,,26896.77,0.060633482,,412,0,,15269.87724,412,422802.4375,425522.4,446449.7311,27069.80166,0.006433176
2018-05,43216,43245,30,385065,,21134.57,0.054885721,,267,3,,7646.128813,268.11,391482.75,404305.8195,397677.8552,21826.83565,0.032755133
2018-04,43186,43215,30,360623,,20282.5,0.056242946,,8,226,,1383.857618,91.62,366633.3833,378282.369,372081.0187,20926.93273,0.031772845
2018-03,43155,43185,31,376385,,20831.95,0.05534745,,1,422,,2533,157.14,370314.2742,387943.293,394303.0191,21823.66667,0.047605561
2018-02,43126,43154,29,376369,,20831.39,0.055348315,,16,288,,1812.448506,122.56,395836.3621,382844.472,364016.0553,20147.67533,-0.032821366
2018-01,43092,43125,34,473742,,24225.72,0.051136948,,0,826,,4956,305.62,424974.4412,409836.669,456867.1064,23362.78945,-0.03562043
2017-12,43062,43091,30,388263,,19567.58,0.050397746,,0,620,,3720,229.4,394734.05,398598.03,392063.6361,19759.12349,0.009788819
2017-11,43034,43061,28,355873,,18578.51,0.05220545,,15,344,,2140.163346,142.28,387647.375,385752.186,354133.1544,18487.68058,-0.004888951
2017-10,43005,43033,29,387140,,19533.25,0.050455262,,95,146,,2336.016515,149.02,407164.4828,386745.999,367725.704,18553.69661,-0.050147998
2017-09,42973,43004,32,437045,,24837.2,0.056829846,,227,10,,5943.576051,230.7,416558.5156,398789.715,418402.3239,23777.73959,-0.042656193
2017-08,42943,42972,30,433284,,25407.41,0.05863916,,409,0,,15092.36476,409,440505.4,425080.05,418111.5246,24517.70878,-0.035017391
2017-07,42913,42942,30,427845,,24850.46,0.058082857,,490,0,,20151.79461,490,434975.75,437023.5,429859.1803,24967.44935,0.004707734
2017-06,42881,42912,32,429613,,24689.92,0.057470142,,342,0,,11335.52841,342,409474.8906,415200.9,435620.6164,25035.17857,0.013983786
2017-05,42852,42880,29,368994,,19434.74,0.052669529,,194,28,,4743.965778,204.36,388079.8966,394905.882,375484.2812,19776.58005,0.017589124
2017-04,42822,42851,30,385473,,19932.4,0.051708939,,101,67,,2012.327457,125.79,391897.55,383320.7355,377036.789,19496.17248,-0.021885349
2017-03,42791,42821,31,390143,,20056.39,0.051407792,,25,312,,2044.466208,140.44,383850.371,385480.878,391800.2367,20141.58488,0.004247767
2017-02,42762,42790,29,368361,,19388.03,0.052633232,,0,316,,1896,116.92,387414.1552,382012.854,363225.3366,19117.72344,-0.01394193
2017-01,42732,42761,30,371927,,19497.41,0.05242268,,0,456,,2736,168.72,378125.7833,389650.764,383263.0466,20091.67594,0.030479225
2016-12,42698,42731,34,421626,,21022.41,0.049860326,,0,553,,3318,204.61,378223.3235,394942.7445,440264.043,21951.70891,0.044205156
2016-11,42669,42697,29,352166,,18895.82,0.053656003,,11,283,,1744.36906,115.71,370381.4828,381834.4395,363055.6966,19480.11759,0.030922055
2016-10,42640,42668,29,360336,,19155.13,0.053159079,,118,40,,2305.433476,132.8,378974.069,384354.36,365451.6866,19427.07519,0.01419699
2016-09,42608,42639,32,453804,,25737.74,0.056715542,,383,1,,13592.82677,383.37,432531.9375,421300.9065,442020.6232,25069.43939,-0.025965784
2016-08,42578,42607,30,452204,,25406.26,0.056183183,,541,0,,23611.06758,541,459740.7333,444543.45,437255.8525,24566.42549,-0.033056204
