Brand_Name_s__s,Equipment_Family_s,Nominal_Speed_of_Rotation_in_Revolutions_per_Minute__rpm__d,Operating_Mode_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model__Bare_Pump__m,Individual_Model_Number__Driver___If_Applicable_m,Individual_Model_Number__Controls___If_Applicable_m,Alternate_Single_Individual_Model_Number_for_Bare_Pump_with_Driver_or_Bare_Pump_with_Driver_and_Controls_m,Pump_Configuration_s,Pump_Energy_Index__PEI__as_Determined_in_Accordance_with_the_Test_Procedure_in_Section_431_464_d,Pump_Total_Head_in_Feet_at_Best_Efficiency_Point__BEP__and_Nominal_Speed_as_Determined_in_Accordance_with_the_Test_Procedure_in_Section_431_464_d,Volume_per_Unit_Time__Flow_Rate__in_Gallons_per_Minute__gpm__at_Best_Efficiency_Point__BEP__and_Nominal_Speed_d,Full_Impeller_Diameter_in_Inches__in___d,For_BP_Pumps___Calculated_Driver_Power_Input_at_the_75__Load_Point__or_at_65__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_BP_Pumps___Calculated_Driver_Power_Input_at_the_100__Load_Point__or_at_90__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_BP_Pumps___Calculated_Driver_Power_Input_at_the_110__Load_Point__or_at_100__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_BP_Pumps___Constant_Load_Pump_Energy_Rating__PERCL___Optional__d,For_EM_Pumps___Driver_Power_Input_at_the_75__Load_Point__or_at_65__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_EM_Pumps___Driver_Power_Input_at_the_100__Load_Point__or_at_90__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_EM_Pumps___Driver_Power_Input_at_the_110__Load_Point__or_at_100__Load_Point_if_BEP_is_at_Run_Out___Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_EM_Pumps___Was_the_PEICL_Calculated_or_Tested__s,For_EM_Pumps___Constant_Load_Pump_Energy_Rating__PERCL___Optional__d,For_C_and_NC_Pumps___Driver_Power_Input_to_the_Controls_at_25__Load_Point__in_Horsepower__hp___corrected_in_accordance_with_the_test_procedure__if_applicable__d,For_C_and_NC_Pumps___Driver_Power_Input_to_the_Controls_at_50__Load_Point__in_Horsepower__hp___corrected_in_accordance_with_the_test_procedure__if_applicable__d,For_C_and_NC_Pumps___Driver_Power_Input_to_the_Controls_at_75__Load_Point__in_Horsepower__hp___corrected_in_accordance_with_the_test_procedure__if_applicable__d,For_C_and_NC_Pumps___Driver_Power_Input__measured_as_the_input_power_to_the_driver_and_controls__at_100__Load_Point__Corrected_to_Nominal_Speed__in_Horsepower__hp__d,For_C_and_NC_Pumps___Was_the_PEIVL_Calculated_or_Tested__s,For_C_or_NC_Pumps___Variable_Load_Pump_Energy_Rating__PERVL___Optional__d,Pump_Efficiency_at_Best_Efficiency_Point__BEP__in_percent______Optional__d,For_RSV_and_ST_Pumps__the_Number_of_Stages_Tested_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Shipco,End suction close-coupled,1800.0,Variable Load,133AW18.VL,133AW18,133AW18.D,133AW18.C,,C-pump sold with a motor & continuous controls,0.67,77.5,384.5,9.375,,,,,,,,,,2.095,4.03,8.16,14.325,T,7.15,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,130AW36.VL,130AW36,130AW36.D,130AW36.C,,C-pump sold with a motor & continuous controls,0.64,246.5,370.0,9.375,,,,,,,,,,5.285,12.07,25.555,46.73,T,22.4,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,129AW36.VL,129AW36,129AW36.D,129AW36.C,,C-pump sold with a motor & continuous controls,0.63,302.5,227.0,9.375,,,,,,,,,,4.97,11.265,22.725,40.545,T,19.9,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,129D36.VL,129D36,129D36.D,129D36.C,,C-pump sold with a motor & continuous controls,0.59,318.5,226.5,9.375,,,,,,,,,,4.465,10.61,22.985,40.065,T,19.5,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,128D36,128D36,,,,BP-bare pump,0.95,335.5,229.0,9.375,30.555,35.24,36.74,34.2,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,1800.0,Variable Load,128D18.VL,128D18,128D18.D,128D18.C,,C-pump sold with a motor & continuous controls,0.54,83.5,107.0,9.375,,,,,,,,,,0.825,1.505,2.875,5.21,T,2.61,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,127H36.VL,127H36,127H36.D,127H36.C,,C-pump sold with a motor & continuous controls,0.57,120.5,81.5,5.875,,,,,,,,,,0.95,1.65,3.11,5.6,T,2.83,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,127H36,127H36,,,,BP-bare pump,0.92,120.5,81.5,5.875,4.135,4.685,4.84,4.56,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,121AW36.VL,121AW36,121AW36.D,121AW36.C,,C-pump sold with a motor & continuous controls,0.5,209.5,132.5,7.375,,,,,,,,,,1.825,3.68,7.635,14.37,T,6.88,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,121AW36,121AW36,,,,BP-bare pump,0.94,209.5,132.5,7.375,11.335,13.24,13.86,12.8,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,1800.0,Variable Load,121D18.VL,121D18,121D18.D,121D18.C,,C-pump sold with a motor & continuous controls,0.53,54.5,55.5,7.375,,,,,,,,,,0.34,0.57,1.045,1.89,T,0.96,,,No,No
Shipco,End suction close-coupled,1800.0,Constant load,121D18,121D18,,,,BP-bare pump,0.93,54.5,55.5,7.375,1.51,1.735,1.8,1.68,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,117D36,117D36,,,,BP-bare pump,0.81,136.5,50.5,5.875,3.22,3.76,3.9,3.63,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,3600.0,Constant Load,116H36,116H36,,,,BP-bare pump,0.94,80.5,48.5,4.875,1.825,2.07,2.145,2.02,,,,,,,,,,,,,,No,No
Shipco,End suction close-coupled,3600.0,Variable Load,116D36.VL,116D36,116D36.D,116D36.C,,C-pump sold with a motor & continuous controls,0.54,83.0,52.0,4.875,,,,,,,,,,0.435,0.735,1.375,2.475,T,1.26,,,No,No
