Parameter,mu,mu_star,sigma,mu_star_conf
AirLeakageLevel,-43.34030335894964,138.81249898571477,181.18370775190309,70.28042470761149
SpecificFanPower,23.940942693316845,70.9339419704915,131.0717540886551,60.29417052930296
FanControlFactor,22.911186350637195,70.10763901383673,130.35367419962984,62.349373755410724
OutdoorAir,1.660965024313191,93.06778471528119,152.89724129696518,71.27850541008306
Roof Absorption Coefficient,24.43481625697126,115.92676948778922,169.08043298756803,76.3160888660311
Roof Emissivity,-45.914447306967816,139.12704884228037,181.1980373008321,71.8473304914013
Opaque UValue,23.68497917946628,116.50078073973866,170.42109902832794,69.77720390456047
Opaque Absorption Coefficient,69.60283507115481,162.33575504034926,190.1633221340813,74.30093827608997
Opaque Emissivity,45.98916721795879,92.79453762657911,145.2504955336742,70.61953104695158
Window Emissivity,-0.3893690685682145,46.721008350753536,107.72360764238127,58.086114328717
Window SolarTransmittance,-0.7398621692043321,185.04412343141303,217.7452815022189,62.021090735535395
Retail Refri Capacity,-22.755732514533133,115.8938931739364,169.54234124715958,76.60756680737333
EV Charger Power,-92.46309746951424,93.90433934479863,120.09465671375293,70.91784106104768
Garage Application,69.14632988988748,162.09145080943287,189.91285686886434,70.84842151308702
Garage Lighting,-46.08785735229046,92.47056748812751,144.36576615258264,69.38680861770072
Lighting Dimmer Weekday,-28.63697906180166,118.61952890241739,169.65836358071968,65.59090403516389
Lighting Dimmer Weekend,-1.098146371012683,47.886902445351815,109.20376484555759,57.28500985038965
