PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2018-01-01T01:00:00Z,2018-01-01T00:00:00Z,PT60M,0.2,104,-8.7,0,0,0,0,9.4,51.5,991,333,3.7,113
2018-01-01T02:00:00Z,2018-01-01T01:00:00Z,PT60M,-0.5,96,-9.9,0,0,0,0,8.7,48.8,991.7,337,4.1,125
2018-01-01T03:00:00Z,2018-01-01T02:00:00Z,PT60M,-1.1,88,-11.2,0,0,0,0,8,46.2,992.3,341,4.5,137
2018-01-01T04:00:00Z,2018-01-01T03:00:00Z,PT60M,-1.7,78,-12.3,0,0,0,0,7.5,44.2,992.7,343,4.7,150
2018-01-01T05:00:00Z,2018-01-01T04:00:00Z,PT60M,-2.3,58,-13.3,0,0,0,0,7,42.7,993,344,4.7,161
2018-01-01T06:00:00Z,2018-01-01T05:00:00Z,PT60M,-2.9,11,-14.3,0,0,0,0,6.5,41.2,993.3,345,4.6,168
2018-01-01T07:00:00Z,2018-01-01T06:00:00Z,PT60M,-3.5,-47,-15,0,0,0,0,6.1,40.3,993.6,346,4.6,164
2018-01-01T08:00:00Z,2018-01-01T07:00:00Z,PT60M,-3.9,-73,-15.5,0,0,0,0,5.8,40,993.9,346,4.6,154
2018-01-01T09:00:00Z,2018-01-01T08:00:00Z,PT60M,-4.3,-85,-16,0,0,0,0,5.4,39.6,994.2,347,4.5,141
2018-01-01T10:00:00Z,2018-01-01T09:00:00Z,PT60M,-4.7,-94,-15.9,0,0,0,0,5.1,41.2,994.7,348,4.5,129
2018-01-01T11:00:00Z,2018-01-01T10:00:00Z,PT60M,-5.1,-101,-15.2,0,0,0,0,4.9,44.9,995.4,351,4.4,117
2018-01-01T12:00:00Z,2018-01-01T11:00:00Z,PT60M,-5.4,-108,-14.5,0,0,0,0,4.6,48.9,996,353,4.3,105
2018-01-01T13:00:00Z,2018-01-01T12:00:00Z,PT60M,-5.5,-116,-14.4,2,17,1,3,4.3,49.3,996.7,356,4.4,93
2018-01-01T14:00:00Z,2018-01-01T13:00:00Z,PT60M,-5.2,-125,-14.9,44,24,2,46,3.9,46.2,997.5,358,4.6,82
2018-01-01T15:00:00Z,2018-01-01T14:00:00Z,PT60M,-4.8,-135,-15.4,76,0,0,76,3.6,43.3,998.3,1,4.9,73
2018-01-01T16:00:00Z,2018-01-01T15:00:00Z,PT60M,-4.3,-147,-15.6,149,40,17,166,3.3,40.8,998.5,1,4.9,65
2018-01-01T17:00:00Z,2018-01-01T16:00:00Z,PT60M,-3.4,-161,-15.5,162,0,0,162,3.2,38.7,998.3,360,4.6,59
2018-01-01T18:00:00Z,2018-01-01T17:00:00Z,PT60M,-2.6,-177,-15.4,214,0,0,214,3.1,36.8,998,358,4.4,57
2018-01-01T19:00:00Z,2018-01-01T18:00:00Z,PT60M,-2.1,166,-15.4,323,16,8,331,3,35.6,997.7,356,4.3,58
2018-01-01T20:00:00Z,2018-01-01T19:00:00Z,PT60M,-2,152,-15.4,274,147,63,337,3,35.1,997.4,354,4.4,63
2018-01-01T21:00:00Z,2018-01-01T20:00:00Z,PT60M,-1.9,139,-15.5,79,769,261,341,3,34.6,997,352,4.6,70
