Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,970331,-,-,-,33.77,-84.38,-5,290,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,0,30,0,0,0,-11.9,0.1,1.8,59.72,-5.3,992,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,1,30,0,0,0,-12.1,0.1,1.8,59.98,-5.6,992,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,2,30,0,0,0,-12.3,0.1,1.7,60.1,-5.8,993,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,3,30,0,0,0,-12.6,0.1,1.8,59.75,-6,993,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,4,30,0,0,0,-13.1,0.1,1.8,59.11,-6.4,994,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,5,30,0,0,0,-13.6,0.1,1.8,58.54,-6.8,994,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,6,30,0,0,0,-13.9,0.1,1.8,58.17,-7.1,995,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,7,30,0,0,0,-14.2,0.1,1.9,55.46,-6.8,996,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,8,30,16,0,16,-14.6,0.1,2,49.99,-5.8,997,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,9,30,47,0,47,-14.7,0.1,2,44.38,-4.4,997,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,10,30,127,2,128,-14.6,0.1,1.8,40.42,-3,997,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,11,30,134,6,137,-14.4,0.1,1.8,37.98,-1.9,997,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,12,30,210,27,225,-14.1,0.1,1.8,36.5,-1.1,996,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,13,30,241,178,336,-14,0.1,1.9,35.7,-0.6,996,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,14,30,204,139,269,-13.9,0.1,2,35.91,-0.6,996,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,15,30,58,872,364,-14,0.1,2,37.19,-1.2,996,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,16,30,44,719,187,-14,0.1,1.5,42.17,-2.9,996,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,17,30,15,202,20,-12.6,0.1,1.2,53.81,-4.7,997,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,18,30,0,0,0,-12.6,0.1,1.3,56.29,-5.3,997,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,19,30,0,0,0,-13.3,0.1,1.7,55.7,-5.9,998,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,20,30,0,0,0,-13.6,0.1,1.8,56.7,-6.4,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,21,30,0,0,0,-13.8,0.1,1.7,57.61,-6.8,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,22,30,0,0,0,-13.9,0.1,1.6,57.99,-7,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,23,30,0,0,0,-13.9,0.1,1.5,58.75,-7.2,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,0,30,0,0,0,-14,0.1,1.4,59.38,-7.4,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,1,30,0,0,0,-14.2,0.1,1.4,58.36,-7.4,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,2,30,0,0,0,-14.3,0.1,1.2,58.03,-7.5,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,3,30,0,0,0,-14.5,0.1,1.1,58.74,-7.8,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,4,30,0,0,0,-14.5,0.1,1,60.39,-8.2,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,5,30,0,0,0,-14.4,0.1,0.9,62.78,-8.6,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,6,30,0,0,0,-14.4,0.1,0.9,64.83,-9,1000,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,7,30,0,0,0,-14.5,0.1,0.9,63.45,-8.8,1000,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,8,30,34,633,119,-14.8,0.1,1,55.15,-7.3,1000,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,9,30,49,860,305,-15.4,0.1,0.9,43.96,-5,1000,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,10,30,56,947,461,-15.7,0.1,0.9,36.19,-2.7,999,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,11,30,60,989,567,-15.6,0.1,0.7,31.44,-0.7,998,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,12,30,61,1005,613,-15.4,0.1,0.6,28.53,0.8,997,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,13,30,61,997,593,-15.2,0.1,0.5,27.24,1.7,996,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,14,30,59,964,509,-15,0.1,0.5,27.54,1.8,996,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,15,30,54,893,369,-14.7,0.1,0.4,29.7,1.1,995,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,16,30,42,705,184,-10.3,0.1,0.4,47.22,-0.4,995,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,17,30,15,213,21,-10.4,0.1,0.5,51.67,-1.7,994,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,18,30,0,0,0,-11.6,0.1,0.5,48.74,-2.2,994,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,19,30,0,0,0,-11,0.1,0.7,52.91,-2.7,994,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,20,30,0,0,0,-9.9,0.1,0.7,59.62,-3.1,993,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,21,30,0,0,0,-9.2,0.1,0.7,64.65,-3.5,992,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,22,30,0,0,0,-8.8,0.1,0.7,67.46,-3.6,992,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,23,30,0,0,0,-8.3,0.1,0.6,69.77,-3.6,992,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,0,30,0,0,0,-8.2,0.1,0.5,70.79,-3.7,992,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,1,30,0,0,0,-8.4,0.1,0.5,71.13,-3.9,991,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,2,30,0,0,0,-8.2,0.1,0.4,73.04,-4.1,991,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,3,30,0,0,0,-8.3,0.1,0.4,73.52,-4.3,990,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,4,30,0,0,0,-8.4,0.1,0.4,73.37,-4.4,989,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,5,30,0,0,0,-8.4,0.1,0.4,74.11,-4.5,989,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,6,30,0,0,0,-8.3,0.1,0.4,75.42,-4.6,989,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,7,30,0,0,0,-8.5,0.1,0.5,72.5,-4.3,989,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,8,30,31,0,31,-9.2,0.1,0.6,63.91,-3.3,989,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,9,30,84,6,86,-12.3,0.1,0.7,43.52,-1.5,989,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
