Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,970331,-,-,-,33.77,-84.38,-5,290,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,0,0,0,16.5,0.11,0.7,100,16.5,983,N/A,98300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,0,0,0,15.7,0.11,0.8,100,15.7,983,N/A,98300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,0,0,14.8,0.11,0.9,100,14.8,984,N/A,98400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,0,0,14,0.11,0.9,100,14,984,N/A,98400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,0,0,13.2,0.11,0.8,98.92,13.4,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,0,0,12.6,0.11,0.6,97.56,13,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,0,0,12.1,0.11,0.5,93.56,13.1,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,0,0,0,11.4,0.11,0.4,86.39,13.6,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,31,0,31,11.8,0.11,0.4,80.45,15.1,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,66,0,66,13.3,0.11,0.6,79.57,16.9,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,45,0,45,12.9,0.11,0.9,72.52,17.9,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,168,51,194,12.9,0.11,1.1,70.65,18.3,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,138,6,141,13.2,0.11,1,71.67,18.4,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,198,60,230,13.5,0.11,0.9,74.5,18.1,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,160,59,187,13.8,0.11,0.8,78.18,17.6,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,127,172,187,14.1,0.11,0.7,83.6,16.9,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,74,82,90,14.8,0.11,0.5,94.64,15.7,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,10,19,10,14.4,0.11,0.5,99.25,14.5,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,30,0,0,0,13.8,0.11,0.5,97.76,14.1,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,30,0,0,0,13.2,0.1,0.6,100,13.2,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,30,0,0,0,12.4,0.1,0.6,100,12.4,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,30,0,0,0,11.6,0.1,0.5,100,11.6,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,30,0,0,0,10.9,0.1,0.5,100,10.9,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,30,0,0,0,10.2,0.1,0.5,100,10.2,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,30,0,0,0,9.7,0.1,0.5,100,9.7,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,1,30,0,0,0,9.3,0.1,0.5,100,9.3,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,0,0,0,8.9,0.1,0.5,100,8.9,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,0,0,0,8.6,0.1,0.6,100,8.6,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,0,0,0,8.3,0.1,0.6,99.76,8.3,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,0,0,0,7.9,0.1,0.6,99.6,8,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,0,0,0,7.7,0.1,0.7,99.3,7.8,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,0,0,0,7.3,0.1,0.7,92.34,8.5,988,N/A,98800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,30,31,11,32,8.7,0.1,0.6,89.19,10.4,988,N/A,98800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,30,98,33,108,9.8,0.1,0.5,83.28,12.6,988,N/A,98800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,10,30,38,0,38,11.2,0.1,0.5,77.82,15,988,N/A,98800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,11,30,155,48,180,12,0.1,0.6,74.76,16.5,987,N/A,98700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,12,30,73,0,73,12.7,0.1,0.5,77.03,16.7,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,13,30,93,1,94,13.2,0.1,0.5,82.6,16.2,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,14,30,68,0,68,13.8,0.1,0.6,90.21,15.4,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,15,30,51,6,53,13.9,0.1,0.8,96.32,14.5,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,16,30,32,0,32,13.6,0.1,0.8,99.98,13.6,986,N/A,98600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,17,30,4,1,4,12.7,0.1,0.6,100,12.7,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,18,30,0,0,0,12.4,0.1,0.6,99.91,12.4,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,19,30,0,0,0,11.7,0.11,0.5,100,11.7,985,N/A,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,20,30,0,0,0,11.3,0.11,0.4,100,11.3,984,N/A,98400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,21,30,0,0,0,11.2,0.11,0.4,100,11.2,984,N/A,98400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,22,30,0,0,0,11.2,0.11,0.4,100,11.2,984,N/A,98400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,23,30,0,0,0,11.3,0.11,0.3,99.97,11.3,983,N/A,98300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,0,30,0,0,0,11.3,0.11,0.2,100,11.3,983,N/A,98300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,1,30,0,0,0,11.3,0.11,0.2,100,11.3,983,N/A,98300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,2,30,0,0,0,11.2,0.11,0.3,100,11.2,983,N/A,98300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,3,30,0,0,0,11.3,0.11,0.3,100,11.3,982,N/A,98200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,4,30,0,0,0,11.2,0.11,0.3,100,11.2,982,N/A,98200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,5,30,0,0,0,11.1,0.11,0.5,100,11.1,982,N/A,98200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,6,30,0,0,0,10.9,0.11,0.7,100,10.9,983,N/A,98300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,7,30,0,0,0,10.7,0.11,0.8,100,10.7,983,N/A,98300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,8,30,7,0,7,10.7,0.11,1,99.33,10.8,984,N/A,98400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,9,30,18,0,18,10.8,0.11,1,96.38,11.4,984,N/A,98400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,10,30,54,0,54,11.4,0.11,0.9,93.7,12.4,984,N/A,98400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,11,30,69,0,69,11.9,0.11,0.9,93.48,12.9,983,N/A,98300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,12,30,82,0,82,11.8,0.11,0.8,93.29,12.9,982,N/A,98200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,13,30,107,5,110,11.9,0.11,0.7,92.28,13.1,981,N/A,98100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,14,30,83,8,87,11.9,0.11,0.7,92.57,13.1,981,N/A,98100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,15,30,74,0,74,12,0.11,0.6,95.44,12.7,981,N/A,98100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,16,30,42,0,42,11.9,0.11,0.4,100,11.9,982,N/A,98200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,17,30,6,0,6,11.3,0.11,0.5,100,11.3,982,N/A,98200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,18,30,0,0,0,11,0.11,0.5,98.88,11.2,982,N/A,98200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,19,30,0,0,0,10.8,0.11,0.5,100,10.8,982,N/A,98200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,20,30,0,0,0,10.6,0.11,0.5,100,10.6,982,N/A,98200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,21,30,0,0,0,10.3,0.11,0.5,100,10.3,981,N/A,98100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,22,30,0,0,0,10.2,0.11,0.5,100,10.2,981,N/A,98100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
