Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,971236,-,-,-,33.93,-84.34,-5,317,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,0,0,0,16,0.11,0.7,100,16,977,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,0,0,0,15.2,0.11,0.8,100,15.2,978,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,0,0,14,0.11,0.9,100,14,979,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,0,0,13.1,0.11,0.9,100,13.1,979,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,0,0,12.3,0.11,0.7,98.06,12.6,979,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,0,0,12,0.11,0.6,96.59,12.5,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,0,0,11.6,0.11,0.5,92.62,12.8,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,0,0,0,10.9,0.11,0.5,84.02,13.5,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,20,0,20,11.4,0.11,0.4,79.21,15,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,54,0,54,13.1,0.11,0.7,78.51,16.9,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,62,1,62,12.3,0.11,1,70.57,17.7,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,214,165,298,12.4,0.11,1.1,70.43,17.9,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,189,17,198,12.8,0.11,1,71.93,17.9,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,139,2,140,13.1,0.11,0.9,73.89,17.8,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,191,53,215,13.4,0.11,0.8,77.15,17.4,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,124,74,150,13.8,0.11,0.7,83.05,16.7,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,59,122,83,14.7,0.11,0.5,95.37,15.4,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,9,31,10,14,0.11,0.5,100,14,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,30,0,0,0,13.4,0.11,0.5,98.61,13.6,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,30,0,0,0,12.6,0.1,0.6,100,12.6,982,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,30,0,0,0,11.7,0.1,0.6,100,11.7,982,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,30,0,0,0,10.9,0.1,0.5,100,10.9,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,30,0,0,0,10,0.1,0.5,100,10,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,30,0,0,0,9.3,0.1,0.5,100,9.3,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,30,0,0,0,8.8,0.1,0.5,100,8.8,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,1,30,0,0,0,8.5,0.1,0.5,100,8.5,982,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,0,0,0,8.1,0.1,0.5,100,8.1,982,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,0,0,0,7.7,0.1,0.6,100,7.7,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,0,0,0,7.4,0.1,0.6,99.61,7.5,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,0,0,0,7.2,0.1,0.6,99.28,7.3,982,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,0,0,0,7,0.1,0.7,99.55,7.1,982,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,0,0,0,6.5,0.1,0.7,91,7.9,982,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,30,43,0,43,8.2,0.1,0.6,88.76,10,983,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,30,105,57,122,9.6,0.1,0.5,82.81,12.4,983,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,10,30,68,0,68,10.7,0.1,0.5,76.66,14.8,983,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,11,30,143,53,170,11.5,0.1,0.6,72.75,16.4,982,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,12,30,127,2,128,12.1,0.1,0.5,75.24,16.5,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,13,30,176,28,191,12.6,0.1,0.5,81.45,15.8,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,14,30,60,0,60,13.3,0.1,0.7,90.56,14.8,980,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,15,30,35,0,35,13.3,0.1,0.9,96.06,13.9,981,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
